"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
1.480,0.26,-0.79,-0.27,1.480,0.29,-0.70,-0.17,1.480,0.26,-0.51,-9.51,1.480,0.30,-0.77,0.15,1.480,0.17,-0.72,0.52,1.480,0.31,-0.65,-1.77,1.480,0.12,14.30,484.04,1.480,0.14,0.12,,1.480,0.10,28.63,245.32,1.480,0.20,-0.85,-0.45
1.500,0.24,-0.79,-0.16,1.500,0.27,-0.70,-0.15,1.500,0.25,-0.74,-9.95,1.500,0.29,-0.76,0.02,1.500,0.16,-0.72,2.80,1.500,0.30,-0.70,-2.02,1.500,0.10,28.88,245.61,1.500,0.13,-0.23,,1.500,1.84,28.80,-236.35,1.500,0.19,-0.74,2.21
1.520,0.23,-0.79,-0.03,1.520,0.26,-0.71,-0.06,1.520,0.24,-0.93,-6.81,1.520,0.27,-0.76,-0.26,1.520,0.14,-0.65,6.75,1.520,0.29,-0.77,-1.20,1.520,1.86,29.03,-238.64,1.520,0.13,,,1.520,1.84,14.45,-479.01,1.520,0.17,-0.74,1.66
1.540,0.21,-0.79,0.05,1.540,0.25,-0.71,0.05,1.540,0.21,-1.07,-1.11,1.540,0.25,-0.78,-0.27,1.540,0.13,-0.45,9.73,1.540,0.27,-0.78,0.54,1.540,1.85,14.57,-483.07,,,,,1.540,1.84,-0.06,-360.13,1.540,0.16,-0.75,3.47
1.560,0.20,-0.79,0.26,1.560,0.23,-0.70,0.11,1.560,0.19,-1.00,4.56,1.560,0.24,-0.78,0.03,1.560,0.12,-0.18,9.00,1.560,0.25,-0.72,1.31,1.560,1.86,-0.03,-363.68,,,,,1.560,1.84,0.01,-119.65,1.560,0.14,-0.64,7.36
1.580,0.18,-0.79,1.51,1.580,0.22,-0.70,0.10,1.580,0.17,-0.80,5.72,1.580,0.22,-0.77,0.33,1.580,0.12,-0.02,3.87,1.580,0.24,-0.68,0.75,1.580,1.85,-0.03,-120.61,,,,,1.580,1.84,0.04,-0.03,1.580,0.13,-0.42,8.68
1.600,0.16,-0.76,4.29,1.600,0.20,-0.70,0.05,1.600,0.16,-0.64,101.22,1.600,0.21,-0.77,0.59,1.600,0.13,0.01,95.58,1.600,0.23,-0.71,0.12,1.600,1.85,-0.01,2.04,,,,,1.600,1.84,0.00,-1.53,1.600,0.13,-0.19,107.45
1.620,0.15,-0.63,7.10,1.620,0.19,-0.70,0.02,1.620,0.14,-0.74,296.96,1.620,0.19,-0.76,1.18,1.620,0.12,-0.17,288.80,1.620,0.21,-0.71,0.27,1.620,1.85,0.08,1.88,,,,,1.620,1.84,-0.06,-1.15,1.620,0.13,-0.17,307.09
1.640,0.14,-0.43,7.85,1.640,0.18,-0.70,0.24,1.640,0.13,11.08,399.28,1.640,0.18,-0.73,2.00,1.640,0.12,11.44,390.05,1.640,0.20,-0.68,0.55,1.640,1.86,0.11,0.06,,,,,1.640,1.84,-0.08,-3.15,1.640,0.13,12.00,408.19
1.660,0.13,-0.27,4.61,1.660,0.16,-0.70,1.62,1.660,0.11,23.11,207.40,1.660,0.16,-0.67,3.09,1.660,0.10,23.21,226.63,1.660,0.19,-0.67,0.01,1.660,1.86,0.08,,,,,,1.660,1.84,-0.01,-13.21,1.660,0.11,24.24,206.91
1.680,0.13,-0.18,119.51,1.680,0.15,-0.67,4.68,1.680,1.53,23.42,-186.90,1.680,0.15,-0.61,4.83,1.680,1.52,23.44,-234.38,1.680,0.17,-0.68,-0.11,1.680,1.86,-0.01,,,,,,1.680,1.83,-0.42,,1.680,1.58,24.38,-200.24
1.700,0.12,-0.32,357.21,1.700,0.13,-0.53,8.18,1.700,1.53,11.81,-392.32,1.700,0.14,-0.50,7.01,1.700,1.52,15.02,-557.51,1.700,0.16,-0.71,1.92,1.700,1.86,,,,,,,1.700,1.84,-1.31,,1.700,1.58,12.28,-407.70
1.720,0.12,13.97,480.07,1.720,0.12,-0.30,9.47,1.720,1.52,-0.05,-274.62,1.720,0.13,-0.32,8.12,1.720,1.53,-8.51,-448.88,1.720,0.14,-0.65,5.97,,,,,,,,,1.720,1.78,,,1.720,1.58,-0.06,-310.32
1.740,0.10,28.44,261.24,1.740,0.12,-0.08,7.12,1.740,1.52,-0.50,-47.21,1.740,0.13,-0.12,6.56,1.740,1.90,-11.75,12.87,1.740,0.13,-0.46,9.34,,,,,,,,,,,,,1.740,1.58,-0.23,-107.67
1.760,1.83,28.65,-261.41,1.760,0.12,0.02,1.45,1.760,1.52,2.77,36.51,1.760,0.13,-0.02,2.53,1.760,0.11,-3.65,395.37,1.760,0.12,-0.21,7.35,,,,,,,,,,,,,1.760,1.57,-0.35,11.16
1.780,1.83,16.33,-564.91,1.780,0.12,0.00,118.84,1.780,1.47,3.32,-35.87,1.780,0.13,-0.02,67.33,1.780,1.52,11.71,263.09,1.780,0.12,-0.03,121.13,,,,,,,,,,,,,1.780,1.56,-0.36,47.87
1.800,1.83,-5.29,-471.49,1.800,0.12,-0.21,351.29,1.800,1.91,0.51,-112.47,1.800,0.13,-0.12,202.73,1.800,1.47,15.47,-91.07,1.800,0.12,-0.20,356.92,,,,,,,,,,,,,1.800,1.56,1.40,56.11
1.820,2.06,-5.40,-205.40,1.820,0.12,14.41,515.79,1.820,1.53,-2.54,-55.65,1.820,0.12,8.06,271.50,1.820,1.95,0.70,-268.92,1.820,0.12,14.06,515.28,,,,,,,,,,,,,1.820,1.55,3.76,-6.47
1.840,0.97,-6.19,-37.58,1.840,0.10,27.77,387.00,1.840,1.52,-4.86,65.18,1.840,0.11,16.23,135.40,1.840,1.54,-3.56,-103.04,1.840,0.10,28.52,210.98,,,,,,,,,,,,,1.840,1.75,2.26,-76.98
1.860,2.05,-7.41,-43.76,1.860,1.88,33.92,83.11,1.860,1.56,2.02,108.97,1.860,1.10,16.21,-137.93,1.860,1.53,-1.52,125.56,1.860,1.84,33.08,-521.09,,,,,,,,,,,,,1.860,1.82,-2.00,-67.79
1.880,1.10,-7.79,32.25,1.880,1.70,26.72,-310.83,1.880,1.31,3.78,34.76,1.880,1.09,7.98,-273.49,1.880,1.46,5.32,113.17,1.880,1.84,6.10,-862.90,,,,,,,,,,,,,1.880,1.56,-2.07,-2.27
1.900,1.04,-9.05,120.38,1.900,2.59,25.43,-1027.16,1.900,1.99,1.90,-24.62,1.900,1.09,-0.24,-203.49,1.900,1.85,6.88,-61.92,1.900,2.36,-26.05,-424.54,,,,,,,,,,,,,1.900,1.50,-0.04,45.17
1.920,1.04,-0.68,140.04,1.920,2.59,-1.05,,1.920,1.54,-0.57,,1.920,1.09,-0.14,-65.62,1.920,1.86,1.62,-198.15,1.920,0.31,-15.90,315.41,,,,,,,,,,,,,1.920,1.82,0.03,6.84
1.940,1.02,-0.07,79.66,1.940,4.04,-61.58,,1.940,1.55,3.41,,1.940,1.08,-0.09,2.74,1.940,1.95,-5.25,-155.48,1.940,0.24,4.13,455.86,,,,,,,,,,,,,1.940,1.56,1.32,-82.57
1.960,1.04,0.04,,1.960,0.13,,,1.960,1.68,,,1.960,1.08,-0.04,1.68,1.960,1.55,-6.33,-4.24,1.960,2.05,13.77,20.11,,,,,,,,,,,,,1.960,1.51,-2.61,-254.24
1.980,1.03,-0.21,,,,,,,,,,1.980,1.08,-0.01,0.51,1.980,1.53,-3.83,93.85,1.980,1.11,-1.01,-220.86,,,,,,,,,,,,,1.980,1.97,-7.31,
2.000,1.03,,,,,,,,,,,2.000,1.08,-0.02,-0.46,2.000,1.52,-0.31,87.11,2.000,1.08,-8.34,-112.53,,,,,,,,,,,,,2.000,1.09,-21.85,
,,,,,,,,,,,,2.020,1.08,-0.05,-0.44,2.020,1.52,-0.01,,2.020,1.08,-0.26,101.75,,,,,,,,,,,,,2.020,1.10,,
,,,,,,,,,,,,2.040,1.08,-0.05,0.36,2.040,1.52,0.30,,2.040,1.08,-0.48,171.40,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.060,1.08,-0.03,0.90,2.060,1.53,,,2.060,1.08,3.34,119.23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.080,1.08,9.83E-4,0.70,,,,,2.080,1.02,8.63,27.19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.100,1.08,0.00,,,,,,2.100,1.54,4.94,-124.24,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.120,1.08,0.00,,,,,,2.120,1.66,1.19,-142.86,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.140,1.08,,,,,,,2.140,1.04,-4.13,-37.47,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.160,1.67,0.54,-2.17,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.180,1.04,1.08,-47.67,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.200,1.73,-4.28,-103.27,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.220,1.11,-5.02,-24.01,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.240,1.08,-5.75,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.260,1.08,-0.34,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.280,1.07,,,,,,,,,,,,,,,,,,
