"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11"
0.680,0.46,-2.58,-3.25,0.680,0.28,-2.59,1.46,0.680,0.36,-2.48,-3.25,0.680,0.18,-2.49,,0.680,0.35,-2.25,-1.85,0.680,0.31,-2.19,-1.21,0.680,0.47,-1.75,-0.07,0.680,0.39,-1.53,-0.54,0.680,0.58,-1.18,-1.96,0.680,0.70,-0.73,-0.64
0.700,0.41,-2.64,-2.97,0.700,0.23,-2.54,234.11,0.700,0.31,-2.54,-1.14,0.700,0.13,,,0.700,0.31,-2.29,-1.51,0.700,0.26,-2.21,-0.59,0.700,0.44,-1.72,0.28,0.700,0.35,-1.55,-0.65,0.700,0.55,-1.21,-0.86,0.700,0.69,-0.73,-0.14
0.720,0.35,-2.70,-2.79,0.720,0.17,-2.34,538.97,0.720,0.26,-2.61,7.05,,,,,0.720,0.26,-2.34,2.92,0.720,0.22,-2.22,178.09,0.720,0.40,-1.71,-0.22,0.720,0.32,-1.56,-0.48,0.720,0.53,-1.20,0.00,0.720,0.67,-0.73,0.06
0.740,0.30,-2.75,-0.87,0.740,0.13,25.29,459.60,0.740,0.20,-2.42,23.04,,,,,0.740,0.21,-2.32,14.59,0.740,0.18,-2.19,587.90,0.740,0.37,-1.73,-0.81,0.740,0.29,-1.57,-0.27,0.740,0.50,-1.20,0.19,0.740,0.66,-0.73,-0.09
0.760,0.24,-2.81,212.68,0.760,0.09,34.26,-147.75,0.760,0.15,-1.76,,,,,,0.760,0.16,-1.88,,0.760,0.13,19.17,719.84,0.760,0.33,-1.76,-0.78,0.760,0.26,-1.57,-0.15,0.760,0.48,-1.19,0.11,0.760,0.65,-0.73,-0.27
0.780,0.19,-2.64,504.09,0.780,3.34,16.01,-744.45,0.780,0.12,-0.63,,,,,,0.780,0.13,-1.00,,0.780,0.09,46.95,114.03,0.780,0.30,-1.77,-0.53,0.780,0.23,-1.57,1.26,0.780,0.46,-1.20,0.13,0.780,0.63,-0.74,-0.25
0.800,0.13,22.71,453.21,0.800,1.07,-10.80,-577.68,0.800,0.12,,,,,,,0.800,0.12,,,0.800,2.61,35.02,-848.97,0.800,0.26,-1.77,-0.47,0.800,0.20,-1.58,6.32,0.800,0.43,-1.19,-0.01,0.800,0.62,-0.74,-0.14
0.820,0.10,32.22,-92.75,0.820,1.07,-18.99,-44.13,,,,,,,,,,,,,0.820,3.33,-4.35,-945.28,0.820,0.23,-1.79,,0.820,0.17,-1.41,12.21,0.820,0.41,-1.19,-0.45,0.820,0.60,-0.74,-0.22
0.840,3.06,16.72,-658.51,0.840,1.07,-0.06,248.03,,,,,,,,,,,,,0.840,1.09,-31.40,,0.840,0.19,-1.80,,0.840,0.13,-0.97,239.80,0.840,0.39,-1.21,-0.88,0.840,0.59,-0.75,-0.65
0.860,1.12,-7.78,-544.49,0.860,1.07,-0.02,158.64,,,,,,,,,,,,,0.860,1.08,-0.07,,0.860,0.16,,,0.860,0.12,-0.71,529.77,0.860,0.36,-1.24,-0.68,0.860,0.57,-0.77,-1.05
0.880,1.11,-16.31,-74.89,0.880,1.07,0.00,0.39,,,,,,,,,,,,,0.880,1.09,,,,,,,0.880,0.12,26.50,433.12,0.880,0.33,-1.25,-0.17,0.880,0.56,-0.80,-1.07
